,Titles,Column_Titles,description,URLs
10,Effects of Taxes and Benefits on Household Income,"['v4_0', 'financial-and-calendar-years', 'Time', 'uk-only', 'Geography', 'quintile', 'Quintile', 'averages-and-percentiles', 'AveragesAndPercentiles', 'income-type', 'Income', 'value-deflation', 'Deflation']","Estimates of mean and median annual incomes in the UK, by quintile groups.
The redistribution effects on individuals of direct and indirect taxation and benefits received in cash or kind.",https://api.beta.ons.gov.uk/v1/datasets/tax-benefits-statistics/editions/time-series/versions/3
11,Suicide registrations in England and Wales by local authority,"['v4_0', 'calendar-years', 'Time', 'administrative-geography', 'Geography']","Number of suicides by local authority in England and Wales, registered from 2001.

If you are struggling to cope, please call Samaritans for free on 116 123 (UK and ROI) or contact other sources of support, such as those listed on the NHS’s help for suicidal thoughts webpage. Support is available round the clock, every single day of the year, providing a safe place for anyone struggling to cope, whoever they are, however they feel, whatever life has done to them.",https://api.beta.ons.gov.uk/v1/datasets/suicides-in-the-uk/editions/2021/versions/1
12,Sexual orientation by English regions and UK countries,"['v4_3', 'Data Marking', 'CV', 'CI+/-', 'calendar-years', 'Time', 'administrative-geography', 'Geography', 'sexual-orientation', 'SexualOrientation', 'unit-of-measure', 'UnitOfMeasure']","Sexual orientation in the UK from 2012 to 2020 by region.

Data source: Annual Population Survey, ONS
",https://api.beta.ons.gov.uk/v1/datasets/sexual-orientation-by-region/editions/time-series/versions/2
13,Sexual orientation by age and sex,"['v4_2', 'CV', 'CI+/-', 'calendar-years', 'Time', 'uk-only', 'Geography', 'age-groups', 'AgeGroups', 'sex', 'Sex', 'sexual-orientation', 'SexualOrientation', 'unit-of-measure', 'UnitOfMeasure']","Sexual orientation in the UK by sex and age, 2014 to 2020.

Source: Annual Population Survey, ONS",https://api.beta.ons.gov.uk/v1/datasets/sexual-orientation-by-age-and-sex/editions/time-series/versions/2
14,Retail sales index - large and small businesses,"['v4_1', 'Data Marking', 'years-quarters-months', 'Time', 'countries', 'Geography', 'sic-unofficial', 'UnofficialStandardIndustrialClassification', 'type-of-prices', 'Prices', 'seasonal-adjustment', 'SeasonalAdjustment']",Value and volume of retail sales broken down by size of business,https://api.beta.ons.gov.uk/v1/datasets/retail-sales-index-large-and-small-businesses/editions/time-series/versions/13
15,Retail sales index - all businesses,"['v4_1', 'Data Marking', 'years-quarters-months', 'Time', 'countries', 'Geography', 'sic-unofficial', 'UnofficialStandardIndustrialClassification', 'type-of-prices', 'Prices', 'seasonal-adjustment', 'SeasonalAdjustment']",Value and volume of retail sales for all businesses.,https://api.beta.ons.gov.uk/v1/datasets/retail-sales-index-all-businesses/editions/time-series/versions/13
16,Retail sales index,"['v4_1', 'Data Marking', 'mmm-yy', 'Time', 'countries', 'Geography', 'sic-unofficial', 'UnofficialStandardIndustrialClassification', 'type-of-prices', 'Prices', 'seasonal-adjustment', 'SeasonalAdjustment']","Retail sales data for Great Britain in value and volume terms, seasonally and non-seasonally adjusted.",https://api.beta.ons.gov.uk/v1/datasets/retail-sales-index/editions/time-series/versions/13
17,"Annual GDP for England, Wales and the English regions","['v4_1', 'Data Marking', 'calendar-years', 'Time', 'nuts', 'geography', 'sic-unofficial', 'UnofficialStandardIndustrialClassification', 'type-of-prices', 'Prices', 'quarterly-index-and-growth-rate', 'GrowthRate']","Annual economic activity within England, Wales and the nine English regions (North East, North West, Yorkshire and the Humber, East Midlands, West Midlands, East of England, Greater London, South East, South West).",https://api.beta.ons.gov.uk/v1/datasets/regional-gdp-by-year/editions/time-series/versions/5
18,"Quarterly GDP for England, Wales and the English regions","['v4_1', 'Data Marking', 'yyyy-qq', 'Time', 'nuts', 'geography', 'sic-unofficial', 'UnofficialStandardIndustrialClassification', 'type-of-prices', 'Prices', 'quarterly-index-and-growth-rate', 'GrowthRate']","Quarterly economic activity within England, Wales and the nine English regions (North East, North West, Yorkshire and The Humber, East Midlands, West Midlands, East of England, London, South East, South West).",https://api.beta.ons.gov.uk/v1/datasets/regional-gdp-by-quarter/editions/time-series/versions/5
19,"Local authority ageing statistics, projected sex ratios for older people","['v4_0', 'calendar-years', 'Time', 'administrative-geography', 'Geography', 'age-groups', 'AgeGroups']","Projected indicators included are derived from the published 2018-based subnational population projections for England, Wales, Scotland and Northern Ireland up to the year 2043. The indicators are the projected sex ratio for those aged 65 years and over and the projected sex ratio for those aged 85 years and over. A sex ratio shows the number of males in the population for every 100 females.

This dataset has been produced by the Ageing Analysis Team for inclusion in the subnational ageing tool, which was published on July 20, 2020 (see link in Related datasets). The tool is interactive, and users can compare latest and projected measures of ageing for up to four different areas through selection on a map or from a drop-down menu. 

Note on data sources: England, Wales, Scotland and Northern Ireland independently publish subnational population projections and the data available here are a compilation of these datasets. The ONS publish national level data for the UK, England, Wales and England & Wales, which has been included. National level data for Scotland and Northern Ireland have been taken from their subnational population projections datasets.",https://api.beta.ons.gov.uk/v1/datasets/projections-older-people-sex-ratios/editions/time-series/versions/1
20,"Local authority ageing statistics, household projections for older people","['v4_1', 'Data Marking', 'calendar-years', 'Time', 'administrative-geography', 'Geography', 'sex', 'Sex', 'age-groups', 'AgeGroups']","Projected indicators included are derived from the published 2018-based household projections for England and 2018-based household projections for Scotland for the years 2018 up to 2043. The indicators are the percentage of one-person households, in which the householder is aged 65 years and over and the percentage of one-person households, in which the householder is aged 85 years and over. This dataset has been produced by the Ageing Analysis Team for inclusion in the subnational ageing tool, which was published on July 20, 2020 (see link in Related datasets). The tool is interactive, and users can compare latest and projected measures of ageing for up to four different areas through selection on a map or from a drop-down menu. Note on data availability: England, Wales, Scotland and Northern Ireland independently publish subnational household projections. Each country publishes a different set of age breakdowns and only England and Scotland provide the breakdowns required to calculate the indicators included above.",https://api.beta.ons.gov.uk/v1/datasets/projections-older-people-in-single-households/editions/time-series/versions/2
21,Output in the construction industry,"['v4_1', 'Data Marking', 'years-quarters-months', 'Time', 'administrative-geography', 'Geography', 'seasonal-adjustment', 'SeasonalAdjustment', 'construction-series-type', 'SeriesType', 'construction-classifications', 'TypeOfWork']","Monthly construction output for Great Britain at current price and chained volume measures, seasonally adjusted by public and private sector.",https://api.beta.ons.gov.uk/v1/datasets/output-in-the-construction-industry/editions/time-series/versions/17
22,Faster Indicators - Online Job Advert Estimates,"['v4_1', 'Data Marking', 'calendar-years', 'Time', 'uk-only', 'Geography', 'week-number', 'Week', 'adzuna-jobs-category', 'AdzunaJobsCategory']",Experimental job advert indices covering the UK job market.,https://api.beta.ons.gov.uk/v1/datasets/online-job-advert-estimates/editions/feb-2020-index-by-category/versions/98
23,"Local authority ageing statistics, sex ratios for people aged 65 and over and 85 and over","['V4_0', 'calendar-years', 'Time', 'administrative-geography', 'Geography', 'age-groups', 'AgeGroups']","Both indicators included have been derived from the published 2019 mid-year population estimates for the UK, England, Wales, Scotland and Northern Ireland. These are sex ratios for people aged 65 years and over and 85 years and over. A sex ratio shows the number of males in the population for every 100 females.

This dataset has been produced by the Ageing Analysis Team for inclusion in a subnational ageing tool, which was published in July 2020. The tool enables users to compare latest and projected measures of ageing for up to four different areas through selection on a map or from a drop-down menu.",https://api.beta.ons.gov.uk/v1/datasets/older-people-sex-ratios/editions/time-series/versions/1
24,"Local authority ageing statistics, net internal migration people aged 65 and over and 85 and over","['V4_1', 'Data Marking', 'calendar-years', 'Time', 'administrative-geography', 'Geography', 'sex', 'Sex', 'age-groups', 'AgeGroups']","Figures presented show the movement of older people between local authorities and regions. Both indicators included in this dataset have been derived from the published 2019 internal migration dataset for England and Wales. The numbers presented are the net number of people aged 65 years and over and 85 years and over entering/ leaving the local authority or region in the 12-month period stated.

This dataset has been produced by the Ageing Analysis Team for inclusion in a subnational ageing tool, which was published in July 2020. The tool is interactive, and users are able to compare latest and projected measures of ageing for up to four different areas through selection on a map or from a drop-down menu.",https://api.beta.ons.gov.uk/v1/datasets/older-people-net-internal-migration/editions/time-series/versions/1
25,"Local authority ageing statistics, older people economic activity","['V4_1', 'Data Marking', 'calendar-years', 'Time', 'administrative-geography', 'Geography', 'sex', 'Sex', 'economic-activity', 'EconomicActivity']","Indicators included are economic activity and employment rates for those aged 50-64 years, by country, region and local authority. Both economic activity and employment rates are displayed as percentages. These have been calculated from the ONS Annual Population Survey and have been extracted from NOMIS.

https://www.nomisweb.co.uk/

This dataset has been produced by the Ageing Analysis Team for inclusion in a subnational ageing tool, which will be published in July 2020. The tool will be interactive, and users will be able to compare latest and projected measures of ageing for up to four different areas through selection on a map or from a drop-down menu. 

Note on update frequency: NOMIS provide quarterly updates on both indicators. For consistency with other indicators presented in the subnational ageing tool, these will be updated on an annual basis.",https://api.beta.ons.gov.uk/v1/datasets/older-people-economic-activity/editions/time-series/versions/1
26,"Population Estimates for UK, England and Wales, Scotland and Northern Ireland","['v4_0', 'calendar-years', 'Time', 'administrative-geography', 'Geography', 'sex', 'Sex', 'single-year-of-age', 'Age']","Estimates of the usual resident population for the UK as at 30 June of the reference year. Provided by administrative area, single year of age and sex.",https://api.beta.ons.gov.uk/v1/datasets/mid-year-pop-est/editions/mid-2021-april-2022-geography/versions/1
27,Life Expectancy by Local Authority,"['v4_2', 'Lower CI', 'Upper CI', 'two-year-intervals', 'Time', 'administrative-geography', 'Geography', 'sex', 'Sex', 'age-groups', 'AgeGroups']",Subnational trends in the average number of years people will live beyond their current age measured by “period life expectancy”.,https://api.beta.ons.gov.uk/v1/datasets/life-expectancy-by-local-authority/editions/time-series/versions/1
28,UK Labour Market,"['v4_1', 'Data Marking', 'mmm-mmm-yyyy', 'Time', 'uk-only', 'Geography', 'unit-of-measure', 'UnitOfMeasure', 'economic-activity', 'EconomicActivity', 'age-groups', 'AgeGroups', 'sex', 'Sex', 'seasonal-adjustment', 'SeasonalAdjustment']","The LFS is a data source compiled from a survey of the UK population. It uses internationally recognised definitions of employment, unemployment and economic activity. It also captures other personal characteristics of household members over the age of 16 such as occupation, education and training. The LFS reflects only a sample of the total population. All cases are therefore weighted on the basis of sub-national population totals by age and sex to give estimates for the entire UK household population.

Labour Force Survey (LFS) responses have been reweighted for periods from January to March 2020 using updated HM Revenue and Customs (HMRC) Real Time Information (RTI) data. The non-response bias adjustment, previously implemented for England, Wales and Scotland data, has now also been applied to Northern Ireland data. Our Impact of reweighting on Labour Force Survey key indicators: 2022 article gives more information on the reweighting exercise.",https://api.beta.ons.gov.uk/v1/datasets/labour-market/editions/PWT22/versions/11
29,Index of Private Housing Rental Prices,"['v4_1', 'Data Marking', 'mmm-yy', 'Time', 'administrative-geography', 'Geography', 'index-and-year-change', 'IndexAndYearChange']",An experimental price index tracking the prices paid for renting property from private landlords in the United Kingdom,https://api.beta.ons.gov.uk/v1/datasets/index-private-housing-rental-prices/editions/time-series/versions/31
30,House price statistics for small areas in England and Wales,"['V4_1', 'Data Marking', 'calendar-years', 'Time', 'mmm', 'Month', 'administrative-geography', 'Geography', 'property-type', 'PropertyType', 'build-status', 'BuildStatus', 'house-sales-and-prices', 'HouseSalesAndPrices']","Summary statistics for housing transactions by local authority in England and Wales, on an annual basis, updated quarterly using HM Land Registry Price Paid Data. Select values from the Year and Month dimensions for data for a 12-month period ending that month and year (e.g. selecting June and 2018 will return the twelve months to June 2018).",https://api.beta.ons.gov.uk/v1/datasets/house-prices-local-authority/editions/time-series/versions/10
31,Expenditure on healthcare: UK Health Accounts,"['v4_1', 'Data Marking', 'calendar-years', 'Time', 'uk-only', 'Geography', 'type-of-prices', 'Prices', 'healthcare-financing-scheme', 'FinancingScheme', 'healthcare-provider', 'HealthcareProvider', 'healthcare-function', 'HealthcareFunction']","Healthcare expenditure statistics, produced to the international definitions of the System of Health Accounts 2011.

Subcategories may not sum to aggregates due to rounding.",https://api.beta.ons.gov.uk/v1/datasets/health-accounts/editions/time-series/versions/2
32,GVA by industry by local authority,"['v4_1', 'Data Marking', 'calendar-years', 'Time', 'administrative-geography', 'Geography', 'sic-unofficial', 'UnofficialStandardIndustrialClassification', 'type-of-prices', 'Prices']","Gross value added (balanced) in current basic prices and as chained volume measures, with a breakdown by 24 industry sectors, for each local authority district, metropolitan district, London borough and Scottish Council area in the UK.",https://api.beta.ons.gov.uk/v1/datasets/gva-by-industry-by-local-authority/editions/time-series/versions/1
33,Generational income: The effects of taxes and benefits,"['v4_1', 'Data Marking', 'yyyy-to-yyyy-yy', 'Time', 'uk-only', 'Geography', 'single-year-of-age', 'Age', 'tax-benefit-type', 'TypeOfTaxOrBenefit', 'decade', 'Decade']","The effects of direct and indirect taxation and benefits received in cash or kind on household income, across the generations and by age.

This data is estimated by combining multiple years of the Living Costs and Food Survey from 1978 to financial year ending March 2017 and the Household Finances Statistics, from financial year ending 2018 to financial year ending 2021 with the exception of 1979 and 1981. All financial amounts are adjusted for inflation using the Consumer Prices Index including owner occupiers’ housing costs (CPIH) excluding Council Tax, to their financial year ending March 2018. For example, the mean disposable income for those aged 35 and born in the 1970’s (£35,752) is estimated by taking the average (in real terms) of the household disposable income for these people across the combined dataset.",https://api.beta.ons.gov.uk/v1/datasets/generational-income/editions/time-series/versions/3
34,GDP monthly estimate (incorporating the Index of Services and Index of Production),"['v4_0', 'mmm-yy', 'Time', 'uk-only', 'Geography', 'sic-unofficial', 'UnofficialStandardIndustrialClassification']","Gross domestic product (GDP) measures the value of goods and services produced in the UK. It estimates the size of and growth in the economy. This dataset also contains the Index of Services (monthly movements in output for the services industries) and the Index of Production (movements in the volume of production for the UK production industries: manufacturing, mining and quarrying, energy supply, and water and waste management). Figures are seasonally adjusted.",https://api.beta.ons.gov.uk/v1/datasets/gdp-to-four-decimal-places/editions/time-series/versions/31
35,GDP by local authority,"['v4_1', 'Data Marking', 'calendar-years', 'time', 'administrative-geography', 'geography', 'type-of-prices', 'prices']","Gross domestic product (GDP) in current market prices and as chained volume measures, plus GDP per capita, for each local authority district, metropolitan district, London borough and Scottish Council area in the UK.",https://api.beta.ons.gov.uk/v1/datasets/gdp-by-local-authority/editions/time-series/versions/2
36,Coronavirus and the latest indicators for the UK economy and society: Shipping indicators,"['v4_1', 'Data Marking', 'calendar-years', 'Time', 'uk-only', 'Geography', 'week-number', 'Week', 'shipping-port', 'Port', 'ship-and-visit-type', 'ShipAndVisitType']","These shipping indicators are based on counts of all vessels, and cargo and tanker vessels. As discussed in Faster indicators of UK economic activity: shipping (please see the related links), we expect the shipping indicators to be related to the import and export of goods.",https://api.beta.ons.gov.uk/v1/datasets/faster-indicators-shipping-data/editions/time-series/versions/105
37,Consumer Prices Index including owner occupiers' housing costs (CPIH),"['v4_0', 'mmm-yy', 'Time', 'uk-only', 'Geography', 'cpih1dim1aggid', 'Aggregate']","CPIH is the most comprehensive measure of inflation. It extends CPI to include a measure of the costs associated with owning, maintaining and living in one's own home, known as owner occupiers' housing costs (OOH), along with council tax. This dataset provides CPIH time series (2005 to latest published month), allowing users to customise their own selection, view or download.",https://api.beta.ons.gov.uk/v1/datasets/cpih01/editions/time-series/versions/33
38,Children's Well-being Measures,"['V4_1', 'Sample size', 'calendar-years', 'Time', 'countries', 'Geography', 'sex', 'Sex', 'wellbeing-estimate', 'Estimate', 'measure-of-wellbeing', 'MeasureOfWellbeing']","How children aged 0 to 15 years in the UK are coping in a range of areas that matter to their quality of life, reflecting the circumstances of their lives and their own perspectives.

This is a subset of the children's well-being indicators. For the full dataset, please see 'Children's well-being and social relationships, UK: 2018' in the 'Related datasets' section.",https://api.beta.ons.gov.uk/v1/datasets/childrens-wellbeing/editions/time-series/versions/1
39,"Earnings and hours worked, place of work and place of residence by Parliamentary constituency: ASHE Tables 9 and 10",,"Annual estimates of paid hours worked and earnings for UK employees by sex, and full-time and part-time, by home and work-based Parliamentary constituency. Hourly and weekly estimates are provided for the pay period that included a specified date in April. They relate to employees on adult rates of pay, whose earnings for the survey pay period were not affected by absence. Estimates for 2020 and 2021 include employees who have been furloughed under the Coronavirus Job Retention Scheme (CJRS). Annual estimates are provided for the tax year that ended on 5th April in the reference year. They relate to employees on adult rates of pay who have been in the same job for more than a year.",https://api.beta.ons.gov.uk/v1/datasets/ashe-tables-9-and-10/editions/time-series/versions/4
40,"Earnings and hours worked, place of work and residence by local authority: ASHE Tables 7 and 8 ","['V4_2', 'Data Marking', 'CV', 'calendar-years', 'Time', 'administrative-geography', 'Geography', 'averages-and-percentiles', 'AveragesAndPercentiles', 'sex', 'Sex', 'working-pattern', 'WorkingPattern', 'hours-and-earnings', 'HoursAndEarnings', 'workplace-or-residence', 'WorkplaceOrResidence']","Annual estimates of paid hours worked and earnings for UK employees by sex, and full-time and part-time, by work-based and residence-based region to local and unitary authority level. Hourly and weekly estimates are provided for the pay period that included a specified date in April. They relate to employees on adult rates of pay, whose earnings for the survey pay period were not affected by absence. Estimates for 2020 and 2021 include employees who have been furloughed under the Coronavirus Job Retention Scheme (CJRS). Annual estimates are provided for the tax year that ended on 5th April in the reference year. They relate to employees on adult rates of pay who have been in the same job for more than a year.",https://api.beta.ons.gov.uk/v1/datasets/ashe-tables-7-and-8/editions/2022/versions/1
41,"Earnings and hours worked, region by occupation by two-digit SOC: ASHE Table 3","['V4_2', 'Data Marking', 'CV', 'calendar-years', 'Time', 'administrative-geography', 'Geography', 'soc', 'StandardOccupationalClassification', 'averages-and-percentiles', 'AveragesAndPercentiles', 'hours-and-earnings', 'HoursAndEarnings', 'sex', 'Sex', 'working-pattern', 'WorkingPattern']","Annual estimates of paid hours worked and earnings for UK employees by sex, and full-time and part-time, by region and two-digit Standard Occupational Classification 2010. Hourly and weekly estimates are provided for the pay period that included a specified date in April. They relate to employees on adult rates of pay, whose earnings for the survey pay period were not affected by absence. Estimates for 2020 and 2021 include employees who have been furloughed under the Coronavirus Job Retention Scheme (CJRS). Annual estimates are provided for the tax year that ended on 5th April in the reference year. They relate to employees on adult rates of pay who have been in the same job for more than a year.",https://api.beta.ons.gov.uk/v1/datasets/ashe-tables-3/editions/time-series/versions/4
42,"Earnings and hours worked, place of work and place of residence by local enterprise partnerships: ASHE Tables 27 and 28","['V4_2', 'Data Marking', 'CV', 'calendar-years', 'Time', 'enterprise-regions', 'Geography', 'averages-and-percentiles', 'AveragesAndPercentiles', 'sex', 'Sex', 'working-pattern', 'WorkingPattern', 'hours-and-earnings', 'HoursAndEarnings', 'workplace-or-residence', 'WorkplaceOrResidence']","Annual estimates of paid hours worked and earnings for UK employees by sex, and full-time and part-time, by work-based and home-based local enterprise partnerships. Hourly and weekly estimates are provided for the pay period that included a specified date in April. They relate to employees on adult rates of pay, whose earnings for the survey pay period were not affected by absence. Estimates for 2020 and 2021 include employees who have been furloughed under the Coronavirus Job Retention Scheme (CJRS). Annual estimates are provided for the tax year that ended on 5th April in the reference year. They relate to employees on adult rates of pay who have been in the same job for more than a year.",https://api.beta.ons.gov.uk/v1/datasets/ashe-tables-27-and-28/editions/2022/versions/1
43,"Earnings and hours worked, care workers: ASHE Table 26","['V4_2', 'Data Marking', 'CV', 'calendar-years', 'Time', 'uk-only', 'Geography', 'averages-and-percentiles', 'AveragesAndPercentiles', 'sex', 'Sex', 'working-pattern', 'WorkingPattern', 'hours-and-earnings', 'HoursAndEarnings']","Annual estimates of paid hours worked and earnings for UK employees by sex, and full-time and part-time, for care workers, home carers and senior care workers as defined in the Standard Occupational Classification. Hourly and weekly estimates are provided for the pay period that included a specified date in April. They relate to employees on adult rates of pay, whose earnings for the survey pay period were not affected by absence. Estimates for 2020 and 2021 include employees who have been furloughed under the Coronavirus Job Retention Scheme (CJRS). Annual estimates are provided for the tax year that ended on 5th April in the reference year. They relate to employees on adult rates of pay who have been in the same job for more than a year.",https://api.beta.ons.gov.uk/v1/datasets/ashe-tables-26/editions/time-series/versions/4
44,"Earnings and hours worked, UK region by public and private sector: ASHE Table 25","['V4_2', 'Data Marking', 'CV', 'calendar-years', 'Time', 'administrative-geography', 'Geography', 'averages-and-percentiles', 'AveragesAndPercentiles', 'sex', 'Sex', 'working-pattern', 'WorkingPattern', 'hours-and-earnings', 'HoursAndEarnings', 'sector', 'Sector']","Annual estimates of paid hours worked and earnings for UK employees by sex, and full-time and part-time, by region, and public and private sector, and non-profit bodies and mutual associations. Hourly and weekly estimates are provided for the pay period that included a specified date in April. They relate to employees on adult rates of pay, whose earnings for the survey pay period were not affected by absence. Estimates for 2020 and 2021 include employees who have been furloughed under the Coronavirus Job Retention Scheme (CJRS). Annual estimates are provided for the tax year that ended on 5th April in the reference year. They relate to employees on adult rates of pay who have been in the same job for more than a year.",https://api.beta.ons.gov.uk/v1/datasets/ashe-tables-25/editions/time-series/versions/4
45,"Earnings and hours worked, age group by occupation by two-digit SOC: ASHE Table 20","['V4_2', 'Data Marking', 'CV', 'calendar-years', 'Time', 'uk-only', 'Geography', 'soc', 'StandardOccupationalClassification', 'averages-and-percentiles', 'AveragesAndPercentiles', 'hours-and-earnings', 'HoursAndEarnings', 'age-groups', 'AgeGroups', 'sex', 'Sex', 'working-pattern', 'WorkingPattern']","Annual estimates of paid hours worked and earnings for UK employees by sex, and full-time and part-time, by age group and two-digit Standard Occupational Classification 2010. Hourly and weekly estimates are provided for the pay period that included a specified date in April. They relate to employees on adult rates of pay, whose earnings for the survey pay period were not affected by absence. Estimates for 2020 and 2021 include employees who have been furloughed under the Coronavirus Job Retention Scheme (CJRS). Annual estimates are provided for the tax year that ended on 5th April in the reference year. They relate to employees on adult rates of pay who have been in the same job for more than a year.",https://api.beta.ons.gov.uk/v1/datasets/ashe-tables-20/editions/time-series/versions/4
46,"Earnings and Hours Worked, Work and Residence-Based Travel to Work Area: ASHE Tables 11 and 12","['V4_2', 'Data Marking', 'CV', 'calendar-years', 'Time', 'travel-to-work-area', 'Geography', 'averages-and-percentiles', 'AveragesAndPercentiles', 'sex', 'Sex', 'working-pattern', 'WorkingPattern', 'hours-and-earnings', 'HoursAndEarnings', 'workplace-or-residence', 'WorkplaceOrResidence']","Annual estimates of paid hours worked and earnings for UK employees by sex, and full-time and part-time, by home-based and work-based travel to work area. Hourly and weekly estimates are provided for the pay period that included a specified date in April. They relate to employees on adult rates of pay, whose earnings for the survey pay period were not affected by absence. Estimates for 2020 and 2021 include employees who have been furloughed under the Coronavirus Job Retention Scheme (CJRS). Annual estimates are provided for the tax year that ended on 5th April in the reference year. They relate to employees on adult rates of pay who have been in the same job for more than a year.",https://api.beta.ons.gov.uk/v1/datasets/ashe-tables-11-and-12/editions/time-series/versions/3
47,"Earnings and Hours Worked, UK Region by Industry by Two-Digit SIC: ASHE Table 5","['V4_2', 'Data Marking', 'CV', 'calendar-years', 'Time', 'administrative-geography', 'Geography', 'averages-and-percentiles', 'AveragesAndPercentiles', 'sic-unofficial', 'UnofficialStandardIndustrialClassification', 'hours-and-earnings', 'HoursAndEarnings', 'sex', 'Sex', 'working-pattern', 'WorkingPattern']","Annual estimates of paid hours worked and earnings for UK employees by sex, and full-time and part-time, by region, and public and private sector, and non-profit bodies and mutual associations. Hourly and weekly estimates are provided for the pay period that included a specified date in April. They relate to employees on adult rates of pay, whose earnings for the survey pay period were not affected by absence. Estimates for 2020 and 2021 include employees who have been furloughed under the Coronavirus Job Retention Scheme (CJRS). Annual estimates are provided for the tax year that ended on 5th April in the reference year. They relate to employees on adult rates of pay who have been in the same job for more than a year.",https://api.beta.ons.gov.uk/v1/datasets/ashe-table-5/editions/time-series/versions/4
